,conf,doi,fig_num,width,height,colors,visual_density
26,models-models2024,10_1145-3640310_3674093,2,898,467,"[('FFFFFF', 0.5336388739192018), ('E3FAE3', 0.13461272492285975), ('F1F7FF', 0.054649160876179756), ('FDFDDF', 0.04514195237572908), ('FFEBFA', 0.04490111263192533), ('008573', 0.033240653748754075), ('000000', 0.017371460728814448), ('FFD6F5', 0.015337437942036312), ('CFE4FF', 0.014068856321208682), ('FFED85', 0.013983012452130121)]",0.4624743064530763
27,models-models2024,10_1145-3640310_3674097,2,489,368,"[('FFFFFF', 0.7704943540499689), ('80A6F5', 0.03397572686049613), ('DBB3E8', 0.008296656886280786), ('1A212B', 0.007879879078865476), ('000000', 0.004917978127500667), ('C8CACC', 0.003423135058237752), ('FCFCFD', 0.0019949764381612875), ('FDFDFD', 0.0016837823419578555), ('FEFEFE', 0.0015781986307459768), ('F8F8F8', 0.0010391659998221748)]",0.2130512581132725
28,models-models2024,10_1145-3640310_3674082,5,476,358,"[('FFFFFF', 0.6767933430355383), ('F2F2F2', 0.01735833998403831), ('E0E0E0', 0.016208159241350172), ('2C2C2C', 0.015368996760715459), ('777777', 0.01504624196047134), ('FEFEFE', 0.014254025632599409), ('F9FAFB', 0.011331627623116286), ('475875', 0.010715459368104785), ('99A2B2', 0.009929111309328201), ('D9D9D9', 0.008626355570161025)]",0.2598704286183749
29,models-models2024,10_1145-3640310_3674093,7,354,284,"[('FFFFFF', 0.809451340813241), ('DFDFDF', 0.0528169014084507), ('000000', 0.03964748945651309), ('EBEBEB', 0.006902999920426514), ('5E5E5E', 0.004127874592185884), ('BFBFBF', 0.00220816423967534), ('606060', 0.0017108299514601735), ('404040', 0.0016213097795814435), ('9C9C9C', 0.0012134956632450069), ('808080', 0.0011836556059520967)]",0.183496458979868
30,models-models2024,10_1145-3640310_3674098,2,999,252,"[('FFFFFF', 0.5550073883407217), ('ECF0F9', 0.08686067019400352), ('ECF1F9', 0.016143127254238367), ('E0E0E0', 0.007030840364173697), ('F2F2F2', 0.006955368066479177), ('2E75B6', 0.006502534280312058), ('A6A6A6', 0.006411173077839744), ('F1F4FB', 0.004770643659532548), ('F5F5F5', 0.0032850310628088405), ('8B8B8B', 0.003229419896086563)]",0.424889174889177
31,models-models2024,10_1145-3640310_3674092,3,948,684,"[('FFFFFF', 0.7231321094578923), ('FEFEFE', 0.009512177067140425), ('FDFDFD', 0.00806715276235596), ('FAFAFA', 0.006637550275125225), ('F9F9F9', 0.005797061218446961), ('F7F7F7', 0.005217200878426728), ('FBFBFB', 0.003935647839711797), ('FCFCFC', 0.0038400325708786735), ('F3F3F3', 0.0037320798480025663), ('000000', 0.0036410911244355616)]",0.2169202013472498
32,models-models2024,10_1145-3640310_3674099,2,500,283,"[('050505', 0.0967773851590106), ('040404', 0.08354770318021201), ('060606', 0.08274911660777386), ('020202', 0.05653710247349823), ('090909', 0.05009893992932862), ('070707', 0.04526501766784452), ('0B0B0B', 0.03904593639575972), ('080808', 0.03734982332155477), ('0C0C0C', 0.029731448763250883), ('FFFFFF', 0.024084805653710246)]",0.9757526501766784
33,models-models2024,10_1145-3640310_3674094,10,794,394,"[('201F1E', 0.5463437711772302), ('F8F8F8', 0.18675280338579958), ('FFFFFF', 0.021570407497858303), ('323130', 0.021516065925916456), ('EAEAEA', 0.01910585738214272), ('F9F9F9', 0.005498088455292869), ('8B8B8B', 0.004219463233131737), ('F1F1F1', 0.003250904627344679), ('FCFCFC', 0.002723471723203212), ('F6F6F6', 0.002020227851014589)]",0.7679582912452558
34,models-models2024,10_1145-3640310_3674099,7,500,350,"[('1E1E1E', 0.35094285714285717), ('676767', 0.11557142857142857), ('ABABAB', 0.0498), ('FFFFFF', 0.022605714285714285), ('1B1D1A', 0.022457142857142856), ('666666', 0.017388571428571427), ('262626', 0.0126), ('686868', 0.012205714285714285), ('1D1F1C', 0.01106857142857143), ('727272', 0.010822857142857143)]",0.9760628571428572
35,models-models2024,10_1145-3640310_3674091,1,504,223,"[('FFFFFF', 0.5470940992241441), ('BCBCBC', 0.005320663392412272), ('6E6E6E', 0.005160509644814577), ('FFFCE3', 0.004893586732151754), ('FFFEF6', 0.0047423304149761545), ('FFFEF5', 0.004537689515267991), ('FFFDE5', 0.004404228058936579), ('FFFCE2', 0.004386433198092391), ('FFFCE4', 0.004306356324293544), ('FFFEF4', 0.004199587159228415)]",0.3567602676347069
